Identifiant de la notice	Thèque	Titre collection	Titre propre	Date de diffusion	Date d'enregistrement	Heure de diffusion	Titre phonogramme	Genre	Thématique	Durée
PHD94031526	PH (Phono)	Aux portes du monde	New-York : 1er Congrès International sur la poussière cosmique	09/01/1964	09/01/1964			"Journal parlé ; "	"Sciences exactes ; Technologie ; "	00:15:35
PHD94031527	PH (Phono)	Aux portes du monde	Annexe à LANION du Centre d'Etudes des Télécommunications	09/01/1964	09/01/1964			"Journal parlé ; "	"Sciences exactes ; Technologie ; "	00:07:15
PHZ19001923	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 14 janvier 1964	14/01/1964	01/01/1964	20:07:00		"Magazine ; "	"Sciences ; "	00:43:07
PHD94031569	PH (Phono)	Magazine des sciences	Les progrès de la Chimie	14/01/1964	09/01/1964	20:19:00		"Journal parlé ; "	"Sciences exactes ; Technologie ; "	00:10:59
PHD94031589	PH (Phono)	Aux portes du monde	Projet américain de lancement d'un fusée-sonde à travers une comète	16/01/1964	16/01/1964			"Journal parlé ; "	"Sciences exactes ; Technologie ; "	00:15:25
PHD94031654	PH (Phono)	Aux portes du monde	Les Iles Galapagos	23/01/1964	23/01/1964			"Journal parlé ; "	"Géographie ; "	00:16:00
PHZ13010712	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 28 janvier 1964	28/01/1964	23/01/1964	20:07:00		"Magazine ; "		00:44:46
PHZ08011066	PH (Phono)	Aux portes du monde	Aux portes du monde du 30 Janvier 1964	30/01/1964	01/01/1963			"Magazine ; "		00:14:00
PHD90000771	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 4 février 1964	04/02/1964	30/01/1964	20:07:00		"Magazine ; "	"Sciences ; "	00:41:54
PHD94030800	PH (Phono)	Magazine des sciences	Situation des Mathématiques en France	04/02/1964	30/01/1964	20:19:00		"Journal parlé ; "	"Sciences exactes ; Technologie ; "	00:11:04
PHD94030799	PH (Phono)	Magazine des sciences	La vieillesse	04/02/1964	30/01/1964	20:34:00		"Journal parlé ; "	"Médecine santé ; "	00:14:02
PHD90000772	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 11 février 1964	11/02/1964	06/02/1964	20:07:00		"Magazine ; "	"Sciences ; "	00:43:48
PHD94030875	PH (Phono)	Aux portes du monde	Le traitement des maladies pulmonaires	13/02/1964	13/02/1964			"Journal parlé ; "	"Médecine santé ; "	00:07:15
PHD94030876	PH (Phono)	Aux portes du monde	Le Salon International des Composants Electroniques	13/02/1964	13/02/1964			"Journal parlé ; "	"Sciences exactes ; Technologie ; "	00:15:50
PHD94030907	PH (Phono)	Magazine des sciences	La recherche spatiale	18/02/1964	30/01/1964	20:19:00		"Journal parlé ; "	"Sciences exactes ; Technologie ; "	00:11:42
PHD94030908	PH (Phono)	Magazine des sciences	L'esthétique scientifique : 1ère partie	18/02/1964	30/01/1964	20:32:00		"Magazine ; "	"Sciences ; "	00:10:42
PHD90000773	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 18 février 1964	18/02/1964	30/01/1964	20:07:00		"Magazine ; "	"Sciences ; "	00:36:42
PHD94031722	PH (Phono)	Aux portes du monde	L'observation de la Lune	20/02/1964	20/02/1964			"Journal parlé ; "	"Sciences exactes ; Technologie ; "	00:07:25
PHD94031723	PH (Phono)	Aux portes du monde	L'utilisation de l'Electronique par l'ORTF	20/02/1964	20/02/1964			"Journal parlé ; "	"Média ; "	00:17:45
PHD94030760	PH (Phono)	Magazine des sciences	Les Mathématiques	25/02/1964	20/02/1964	20:19:00		"Journal parlé ; "	"Sciences exactes ; Technologie ; "	00:13:21
PHD94030761	PH (Phono)	Magazine des sciences	L'esthétique scientifique : 2ème partie	25/02/1964	20/02/1964	20:37:00		"Journal parlé ; "	"Sciences exactes ; Technologie ; "	00:11:31
PHZ19001925	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 25 février 1964	25/02/1964	01/01/1964	20:07:00		"Magazine ; "	"Sciences ; "	00:42:13
PHZ06044049	PH (Phono)	Aux portes du monde	Aux portes du monde : émission du 27 février 1964	27/02/1964	27/02/1964			"Magazine ; "		
PHD90000775	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 3 mars 1964	03/03/1964	27/02/1964	20:07:00		"Magazine ; "	"Sciences ; "	00:43:11
PHD94036095	PH (Phono)	Aux portes du monde	Aux portes du monde du 5 Mars 1964	05/03/1964	05/03/1964			"Reportage ; "	"Sciences ; "	00:27:50
PHD94036142	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 10 mars 1964	10/03/1964	07/03/1964	20:07:00		"Débat ; Magazine ; "	"Philosophie ; Sciences exactes ; Technologie ; "	00:39:16
PHD94036151	PH (Phono)	Aux portes du monde	Le thon	12/03/1964	12/03/1964			"Magazine ; "	"Sciences naturelles ; "	00:07:25
PHD94036152	PH (Phono)	Aux portes du monde	Les coulisses de la Maison de la Radio	12/03/1964	12/03/1964			"Reportage ; "	"Information ; Sciences ; "	00:12:30
PHD94036202	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 17 mars 1964	17/03/1964	12/03/1964	20:07:00		"Magazine ; Reportage ; "	"Information ; Sciences ; "	00:43:54
PHD94036211	PH (Phono)	Aux portes du monde	Les greffes	19/03/1964	19/03/1964			"Magazine ; Reportage ; "	"Sciences ; "	00:14:10
PHD94036258	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 24 mars 1964	24/03/1964	19/03/1964	20:07:00		"Magazine ; Reportage ; "	"Sciences ; "	00:44:44
PHD94036275	PH (Phono)	Aux portes du monde	"Création de ""l'Organisation Européenne de recherche spatiale"""	26/03/1964	26/03/1964			"Reportage ; "	"Sciences ; "	00:08:20
PHD94036276	PH (Phono)	Aux portes du monde	L'exploration de la lune	26/03/1964	26/03/1964			"Reportage ; "	"Sciences ; "	00:15:40
PHD94036311	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 31 mars 1964	31/03/1964	26/03/1964	20:07:00		"Magazine ; Reportage ; "	"Education pédagogie ; Sciences ; "	00:35:54
PHD94036327	PH (Phono)	Aux portes du monde	L'importance de la stéréophonie	02/04/1964	02/04/1964			"Magazine ; Reportage ; "	"Sciences ; "	00:06:45
PHD94036326	PH (Phono)	Aux portes du monde	Les progrès de la biologie moléculaire	02/04/1964	02/04/1964			"Magazine ; Reportage ; "	"Information ; Médecine santé ; "	00:20:10
PHD94036374	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 7 avril 1964	07/04/1964	01/04/1964	20:07:00		"Magazine ; Reportage ; "	"Sciences ; "	00:43:52
PHD94036392	PH (Phono)	Aux portes du monde	La cybernétique	09/04/1964	09/04/1964			"Magazine ; Reportage ; "	"Sciences ; "	00:14:00
PHD94036393	PH (Phono)	Aux portes du monde	L'association nationale des clubs scientifiques	09/04/1964	09/04/1964			"Magazine ; Reportage ; "	"Sciences ; "	00:15:00
PHD94036438	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 14 avril 1964	14/04/1964	09/04/1964	20:07:00		"Magazine ; "	"Sciences ; "	00:42:06
PHD94036459	PH (Phono)	Aux portes du monde	Interview du professeur LEDOUX de l'université de Liège	16/04/1964	16/04/1964			"Reportage ; "	"Sciences ; "	00:02:45
PHD94036499	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 21 avril 1964	21/04/1964	21/04/1964	20:07:00		"Causerie ; Magazine ; "	"Sciences ; "	00:38:15
PHD94036515	PH (Phono)	Aux portes du monde	Le dopage chez les sportifs	23/04/1964	23/04/1964			"Reportage ; "	"Sports ; "	00:12:10
PHD94036582	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 28 avril 1964	28/04/1964	24/04/1964	20:07:00		"Magazine ; "	"Sciences ; "	00:41:06
PHZ06044050	PH (Phono)	Aux portes du monde	Aux portes du monde : émission du 30 avril 1964	30/04/1964	30/04/1964			"Magazine ; "		
PHD94036602	PH (Phono)	Aux portes du monde	Les insectes	30/04/1964	30/04/1964			"Magazine ; Reportage ; "	"Information ; Sciences ; "	00:10:30
PHD94036601	PH (Phono)	Aux portes du monde	"La lutte contre le cancer ; les greffes"	30/04/1964	30/04/1964			"Reportage ; "	"Médecine santé ; "	00:10:10
PHD90000781	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 12 mai 1964	12/05/1964	30/04/1964	20:07:00		"Magazine ; "	"Sciences ; "	00:40:02
PHD94035645	PH (Phono)	Magazine des sciences	La physique des plasmas	12/05/1964	30/04/1964	20:32:00		"Magazine ; "	"Sciences ; "	00:14:03
PHD94035644	PH (Phono)	Magazine des sciences	La chimie de l'avenir	12/05/1964	30/04/1964	20:17:00		"Magazine ; "	"Sciences ; "	00:12:36
PHD94035671	PH (Phono)	Aux portes du monde	La campagne de dératisation	14/05/1964	30/04/1964			"Reportage ; "	"Faune ; Sciences ; "	00:17:30
PHD94035701	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 19 mai 1964	19/05/1964	07/05/1964	20:07:00		"Magazine ; Reportage ; "	"Sciences ; Sciences humaines ; "	00:40:39
PHD94035719	PH (Phono)	Aux portes du monde	La pollution des eaux par les hydrocarbures	21/05/1964	21/05/1964			"Magazine ; "	"Environnement ; Industrie ; "	00:30:18
PHD88024871	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 26 mai 1964	26/05/1964	01/01/1964	20:07:00		"Magazine ; "	"Sciences ; "	00:38:43
PHD94035767	PH (Phono)	Aux portes du monde	Le prix Jean PERRIN partagé entre plusieurs lauréats	28/05/1964	28/05/1964			"Reportage ; "	"Education pédagogie ; Sciences ; "	00:18:15
PHD94035809	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 2 Juin 1964	02/06/1964	14/05/1964	20:07:00		"Magazine ; Reportage ; "	"Médecine santé ; Sciences ; Sciences exactes ; Technologie ; "	00:39:15
PHD94035821	PH (Phono)	Aux portes du monde	Aux portes du monde du 4 Juin 1964	04/06/1964	04/06/1964			"Reportage ; "	"Média ; Sciences naturelles ; "	00:30:25
PHD94035820	PH (Phono)	Aux portes du monde	Aux portes du monde du 4 Juin 1964	04/06/1964	04/06/1964			"Reportage ; "	"Médecine santé ; Sciences exactes ; Technologie ; "	00:30:25
PHD94035864	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 9 juin 1964	09/06/1964	14/05/1964	20:07:00		"Magazine ; Reportage ; "	"Sciences ; Sciences exactes ; Technologie ; "	00:41:12
PHD97006693	PH (Phono)	Aux portes du monde	Les techniques photogrammétriques	11/06/1964	11/06/1964			"Reportage ; "	"Géographie ; "	00:11:30
PHD97006694	PH (Phono)	Aux portes du monde	Congrès de la Mer : pollution des eaux marines	11/06/1964	11/06/1964			"Reportage ; "	"Environnement ; "	00:14:44
PHD90000782	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 16 juin 1964	16/06/1964	13/06/1964	20:07:00		"Magazine ; "	"Sciences ; "	00:43:05
PHD94035920	PH (Phono)	Aux portes du monde	"La Tour Eiffel ; L'Institut géographique national"	18/06/1964	15/06/1964			"Reportage ; "	"Géographie ; Information ; "	00:30:20
PHD94035983	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 23 juin 1964	23/06/1964	04/06/1964	20:07:00		"Magazine ; "	"Sciences ; "	00:39:10
PHF08011361	PH (Phono)	Aux portes du monde	"La médecine aérospatiale ; l'institut français d'emballage"	25/06/1964	25/06/1964			"Magazine ; "	"Médecine santé ; Technologie ; "	00:30:20
PHD94036014	PH (Phono)	Aux portes du monde	Le laboratoire de médecine aérospatiale du centre de Bretigny	25/06/1964	25/06/1964			"Reportage ; "	"Médecine santé ; "	00:14:45
PHD94036058	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 30 juin 1964	30/06/1964	03/06/1964	20:07:00		"Magazine ; "	"Sciences ; "	00:40:25
PHD90000010	PH (Phono)	Aux portes du monde	Aux portes du monde : émission du 2 juillet 1964	02/07/1964	02/07/1964			"Magazine ; "	"Information ; "	00:29:30
PHD94032182	PH (Phono)	Aux portes du monde	"""Paris, capitale souterraine"""	02/07/1964	02/07/1964			"Reportage ; "	"Urbanisme ; "	00:10:00
PHD94032216	PH (Phono)	Magazine des sciences	Le Déterminisme	07/07/1964	06/07/1964	20:17:00		"Interview ; Magazine ; "	"Sciences exactes ; Sciences naturelles ; Technologie ; "	00:09:46
PHD94032217	PH (Phono)	Magazine des sciences	"Les Iles Galapagos ; 1"	07/07/1964	06/07/1964	20:29:00		"Magazine ; "	"Environnement ; Faune ; "	00:14:19
PHD90000784	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 7 juillet 1964	07/07/1964	06/07/1964	20:07:00		"Magazine ; "	"Sciences ; "	00:37:23
PHD94032238	PH (Phono)	Aux portes du monde	Aux portes du monde du 9 Juillet 1964	09/07/1964	09/07/1964	13:35:00		"Chronique ; Interview ; Magazine ; Reportage ; "	"Médecine santé ; Sciences ; Sciences exactes ; Technologie ; "	00:12:00
PHD94032264	PH (Phono)	Magazine des sciences	"""Manuel de russe à l'usage des scientifiques"""	14/07/1964	07/07/1964	20:17:00		"Magazine ; Reportage ; "	"Sciences ; "	00:11:36
PHD94032265	PH (Phono)	Magazine des sciences	Les Iles Galapagos : 2	14/07/1964	07/07/1964	20:31:00		"Magazine ; "	"Environnement ; Faune ; "	00:15:07
PHD90000785	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 14 juillet 1964	14/07/1964	07/07/1964	20:07:00		"Magazine ; "	"Sciences ; "	00:40:29
PHD94030506	PH (Phono)	Magazine des sciences	Les maladies congénitales et héréditaires	16/09/1964	09/06/1964	22:12:00		"Reportage ; "	"Médecine santé ; "	00:12:10
PHD94030507	PH (Phono)	Magazine des sciences	"Les mécanismes automatiques et semi-automatiques du corps humain ; 1"	16/09/1964	09/06/1964	22:24:00		"Reportage ; "	"Médecine santé ; "	00:17:34
PHZ19001931	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 16 septembre 1964	16/09/1964	01/01/1964	22:00:00		"Magazine ; "	"Sciences ; "	00:42:25
PHD94030538	PH (Phono)	Magazine des sciences	"Le ""Combinatoire"" en mathématiques"	23/09/1964	09/07/1964	22:11:00		"Reportage ; "	"Sciences exactes ; Technologie ; "	00:13:46
PHD94030539	PH (Phono)	Magazine des sciences	"Les mécanismes automatiques et semi-automatiques du corps humain ; 2"	23/09/1964	09/07/1964	22:26:00		"Reportage ; "	"Médecine santé ; "	00:18:07
PHZ19001932	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 23 septembre 1964	23/09/1964	01/01/1964	22:00:00		"Magazine ; "	"Sciences ; "	00:44:31
PHD94030546	PH (Phono)	Magazine des sciences	"La documentation scientifique ; 1"	30/09/1964	24/09/1964	22:29:00		"Journal parlé ; "	"Sciences exactes ; Technologie ; "	00:13:29
PHD94030547	PH (Phono)	Magazine des sciences	La place de la glace dans le monde	30/09/1964	24/09/1964	22:11:00		"Reportage ; "	"Sciences exactes ; Technologie ; "	00:11:38
PHF19001933	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 30 septembre 1964	30/09/1964	01/01/1964	22:00:00		"Magazine ; "	"Sciences ; "	00:42:59
PHD94030726	PH (Phono)	Magazine des sciences	"""Le second principe de la science du temps"" de COSTA DE BEAUREGARD"	07/10/1964	24/09/1964	22:12:00		"Reportage ; "	"Littérature ; Sciences ; "	00:14:03
PHD90000786	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 7 octobre 1964	07/10/1964	04/09/1964	22:00:00		"Magazine ; "	"Sciences ; "	00:45:18
PHD94030727	PH (Phono)	Magazine des sciences	"La documentation scientifique ; 2"	07/10/1964	24/09/1964	22:29:00		"Reportage ; "	"Sciences ; "	00:15:34
PHD94029802	PH (Phono)	Magazine des sciences	La Chine et l'informatique	14/10/1964	08/10/1964	22:13:00		"Reportage ; "	"Sciences exactes ; Technologie ; "	00:12:01
PHF19001934	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 14 octobre 1964	14/10/1964	01/01/1964	22:00:00		"Magazine ; "	"Sciences ; "	00:41:23
PHD94029803	PH (Phono)	Magazine des sciences	L'Endocrinologie	14/10/1964	08/10/1964	22:27:00		"Reportage ; "	"Médecine santé ; "	00:13:46
PHF19001935	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 21 octobre 1964	21/10/1964	01/01/1964	22:00:00		"Magazine ; "	"Sciences ; "	00:37:55
PHD94029882	PH (Phono)	Magazine des sciences	Les microbes utiles	21/10/1964	08/10/1964	22:11:00		"Journal parlé ; "	"Sciences exactes ; Technologie ; "	00:11:37
PHD94029883	PH (Phono)	Magazine des sciences	"Les instruments de la recherche astronomique ; 1"	21/10/1964	08/10/1964	22:25:00		"Journal parlé ; "	"Sciences exactes ; Technologie ; "	00:11:47
PHD90000787	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 28 octobre 1964	28/10/1964	22/10/1964	22:00:00		"Magazine ; "	"Sciences ; "	00:41:40
PHD94029957	PH (Phono)	Magazine des sciences	Le cru et le cuit	28/10/1964	22/10/1964	22:10:00		"Reportage ; "	"Ethnologie ; "	00:12:24
PHD94029958	PH (Phono)	Magazine des sciences	"Les instruments de la recherche astronomique ; 2"	28/10/1964	28/10/1964	22:25:00		"Journal parlé ; "	"Sciences exactes ; Technologie ; "	00:15:41
PHD90000788	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 4 novembre 1964	04/11/1964	29/10/1964	22:00:00		"Magazine ; "	"Sciences ; "	00:37:20
PHD99200589	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 11 novembre 1964	11/11/1964	05/11/1964	20:00:00		"Magazine ; "	"Sciences ; "	00:29:48
PHD90000789	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 25 novembre 1964	25/11/1964	12/11/1964	22:00:00		"Magazine ; "	"Sciences ; "	00:36:20
PHD90000790	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 2 décembre 1964	02/12/1964	19/11/1964	22:00:00		"Magazine ; "	"Sciences ; "	00:42:56
PHD88024872	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 9 décembre 1964	09/12/1964	26/11/1964	22:00:00		"Magazine ; "	"Sciences ; "	00:41:22
PHD99264245	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 16 décembre 1964	16/12/1964	03/12/1964	22:00:00		"Magazine ; "		00:37:08
PHD90000791	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 23 décembre 1964	23/12/1964	20/12/1964	22:35:00		"Magazine ; "	"Sciences ; "	00:40:35
PHD88024873	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 30 décembre 1964	30/12/1964	19/12/1964	22:16:00		"Magazine ; "	"Sciences ; "	00:39:31
PHD94030117	PH (Phono)	Magazine des sciences	L'étude chimique de l'hérédité	06/01/1965	24/12/1964	22:24:00		"Magazine ; "	"Sciences naturelles ; "	00:17:30
PHF19001936	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 6 janvier 1965	06/01/1965	01/01/1965	22:00:00		"Magazine ; "	"Sciences ; "	00:42:26
PHD94030186	PH (Phono)	Magazine des sciences	Création picturale et ordre cérébral	13/01/1965	31/12/1964	22:12:00		"Magazine ; "	"Arts ; Sciences naturelles ; "	00:11:50
PHD94030187	PH (Phono)	Magazine des sciences	"Pourquoi s'intéresser aux êtres vivants ? ; 1"	13/01/1965	31/12/1964	22:28:00		"Magazine ; "	"Sciences naturelles ; "	00:13:09
PHF19001937	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 13 janvier 1965	13/01/1965	01/01/1965	22:00:00		"Magazine ; "	"Sciences ; "	00:41:55
PHD94030263	PH (Phono)	Magazine des sciences	Les bâtisseurs de l'avenir	20/01/1965	20/01/1965	22:12:00		"Magazine ; "	"Sciences exactes ; Technologie ; "	00:13:45
PHD94030264	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 20 janvier 1965	20/01/1965	14/01/1965	22:00:00		"Chronique ; Interview ; Lecture ; Magazine ; "	"Environnement ; Sciences ; "	00:41:20
PHD88024874	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 27 janvier 1965	27/01/1965	21/01/1961	22:00:00		"Magazine ; "	"Sciences ; "	00:44:26
PHF19001938	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 3 février 1965	03/02/1965	01/01/1965	22:00:00		"Magazine ; "	"Sciences ; "	00:45:15
PHD96008350	PH (Phono)	Magazine des sciences	"Nos fenêtres sur le monde extérieur ; 2"	03/02/1965	27/01/1965	22:25:00		"Magazine ; "	"Psychologie ; "	00:19:31
PHD96008351	PH (Phono)	Magazine des sciences	Les mathématiques modernes	03/02/1965	27/01/1965	22:12:00		"Magazine ; "	"Sciences exactes ; Technologie ; "	00:10:51
PHD88024875	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 10 février 1965	10/02/1965	04/02/1965	22:00:00		"Magazine ; "	"Littérature ; Sciences ; "	00:44:54
PHD88024876	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 17 février 1965	17/02/1965	11/02/1965	22:45:00		"Magazine ; "	"Sciences ; "	00:42:16
PHD88024877	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 24 février 1965	24/02/1965	21/01/1965	22:00:00		"Magazine ; "	"Sciences ; "	00:45:24
PHD99264246	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 10 mars 1965	10/03/1965	22/02/1965	22:00:00		"Magazine ; "		00:42:29
PHD88024878	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 17 mars 1965	17/03/1965	25/02/1965	22:00:00		"Magazine ; "	"Sciences ; "	00:41:39
PHF19001939	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 24 mars 1965	24/03/1965	01/01/1965	22:00:00		"Magazine ; "	"Sciences ; "	00:40:54
PHD94049235	PH (Phono)	Magazine des sciences	Les applications de l'électronique à la radiologie	24/03/1965	23/03/1965	22:10:00		"Reportage ; "	"Médecine santé ; Sciences exactes ; Technologie ; "	00:12:29
PHD94049236	PH (Phono)	Magazine des sciences	La mesure du temps en physique	24/03/1965	23/03/1965	22:25:00		"Reportage ; "	"Education pédagogie ; Sciences exactes ; Technologie ; "	00:14:41
PHD88024879	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 31 mars 1965	31/03/1965	27/03/1965	22:00:00		"Magazine ; "	"Sciences ; "	00:40:29
PHF19001940	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 7 avril 1965	07/04/1965	01/01/1965	22:30:00		"Magazine ; "	"Sciences ; "	00:41:47
PHD94048882	PH (Phono)	Magazine des sciences	Mathématiques appliquées, mathématiques théoriques	07/04/1965	02/04/1965	22:41:00		"Reportage ; "	"Education pédagogie ; "	00:12:20
PHD94048883	PH (Phono)	Magazine des sciences	Astronomie, Radio-astronomie	07/04/1965	02/04/1965	22:56:00		"Reportage ; "	"Sciences exactes ; Technologie ; "	00:14:33
PHF19001941	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 14 avril 1965	14/04/1965	01/01/1965	22:00:00		"Magazine ; "	"Sciences ; "	00:43:22
PHD94048980	PH (Phono)	Magazine des sciences	La structure des radios-sources	14/04/1965	10/04/1965	22:26:00		"Reportage ; "	"Sciences ; Sciences exactes ; Technologie ; "	00:16:46
PHD94048979	PH (Phono)	Magazine des sciences	Les métaux de très haute pureté	14/04/1965	10/04/1965	22:10:00		"Reportage ; "	"Sciences exactes ; Technologie ; "	00:11:10
PHD88024880	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 21 avril 1965	21/04/1965	08/04/1965	22:00:00		"Magazine ; "	"Sciences ; "	00:45:30
PHF19001942	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 28 avril 1965	28/04/1965	01/01/1965	22:00:00		"Magazine ; "	"Sciences ; "	00:41:40
PHD94048917	PH (Phono)	Magazine des sciences	Le vocabulaire géographique	28/04/1965	08/04/1965	22:27:00		"Reportage ; "	"Géographie ; Sciences humaines ; "	00:13:59
PHD94048916	PH (Phono)	Magazine des sciences	La science contemporaine	28/04/1965	08/04/1965	22:11:00		"Reportage ; "	"Littérature ; Sciences ; "	00:12:16
PHD88024881	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 5 mai 1965	05/05/1965	29/04/1965	22:00:00		"Magazine ; "	"Sciences ; "	00:39:56
PHD88024882	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 12 mai 1965	12/05/1965	08/04/1965	22:20:00		"Magazine ; "	"Sciences ; "	00:43:39
PHF19001943	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 19 mai 1965	19/05/1965	01/01/1965	22:00:00		"Magazine ; "	"Sciences ; "	00:38:36
PHD94028995	PH (Phono)	Magazine des sciences	La nutrition	19/05/1965	13/05/1965	22:10:00		"Magazine ; "	"Médecine santé ; "	00:07:57
PHD94028996	PH (Phono)	Magazine des sciences	Une nouvelle science : la paléo-écologie	19/05/1965	13/05/1965	22:22:00		"Magazine ; "	"Médecine santé ; "	00:15:19
PHD88024883	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 26 mai 1965	26/05/1965	13/05/1965	22:00:00		"Magazine ; "	"Sciences ; "	00:44:14
PHD99264247	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 2 juin 1965	02/06/1965	28/05/1965	22:00:00		"Magazine ; "		00:47:46
PHD99264248	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 9 juin 1965	09/06/1965	09/06/1965	22:01:00		"Magazine ; "		00:49:55
PHD99264249	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 16 juin 1965	16/06/1965	10/06/1965	22:00:00		"Magazine ; "		00:45:58
PHD99264250	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 23 juin 1965	23/06/1965	10/06/1965	22:00:00		"Magazine ; "		00:50:28
PHD88024884	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 30 juin 1965	30/06/1965	10/06/1965	22:01:00		"Magazine ; "	"Sciences ; "	00:43:01
PHD99264251	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 7 juillet 1965	07/07/1965	10/06/1965	22:00:00		"Magazine ; "	"Sciences ; "	00:45:44
PHD94027360	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 30 septembre 1965	30/09/1965	16/05/1965	20:00:00		"Magazine ; Reportage ; "	"Sciences ; "	00:29:49
PHD94027456	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 7 octobre 1965	07/10/1965	23/09/1965	20:00:00		"Magazine ; "	"Sciences ; "	00:31:45
PHD94027529	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 14 octobre 1965	14/10/1965	14/10/1965	20:00:00		"Magazine ; Reportage ; "	"Sciences ; "	00:26:43
PHD94026112	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 21 octobre 1965	21/10/1965	14/10/1965	20:00:00		"Magazine ; Reportage ; "	"Sciences ; Sciences exactes ; Technologie ; "	00:24:44
PHD94028079	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 28 octobre 1965	28/10/1965	23/10/1965	20:00:00		"Magazine ; Reportage ; "	"Sciences ; "	00:30:40
PHD94026113	PH (Phono)	Magazine des sciences	Magazine des sciences : émission du 11 novembre 1965	11/11/1965	25/10/1965	20:00:00		"Magazine ; Reportage ; "	"Histoire ; Sciences ; "	00:28:15
PHD94025284	PH (Phono)	Magazine des sciences	Les maladies héréditaires	25/11/1965	18/11/1965	20:08:00		"Reportage ; "	"Médecine santé ; "	00:11:03
PHD94025285	PH (Phono)	Magazine des sciences	Le rôle des dictionnaires dans la vulgarisation scientifique	25/11/1965	18/11/1965	20:19:00		"Magazine ; "	"Sciences ; "	00:10:50
