Identifiant de la notice	Thèque	Titre collection	Titre propre	Date de diffusion	Date d'enregistrement	Heure de diffusion	Titre phonogramme	Genre	Thématique	Durée
PHD98217019	PH (Phono)	Le téléphone sonne	La priorité à gauche aux carrefours	01/05/1984	01/05/1984	19:23:45		"Déclaration ; Interview entretien ; Journal parlé ; "	"Industrie ; "	00:47:00
PHD98217036	PH (Phono)	Le téléphone sonne	Les 35 heures sont-elles une solution au chômage	03/05/1984	03/05/1984	19:21:30		"Débat ; Journal parlé ; "	"Information ; "	00:33:45
PHD98217118	PH (Phono)	Le téléphone sonne	Los Angeles, les JO seront-ils des jeux au rabais ?	10/05/1984	10/05/1984	19:24:30		"Déclaration ; Interview entretien ; Journal parlé ; "	"Sports ; "	00:35:30
PHD98217172	PH (Phono)	Le téléphone sonne	L'adoption	15/05/1984	15/05/1984	19:23:00		"Débat ; Journal parlé ; "	"Information ; "	00:37:45
PHY05078942	PH (Phono)	Le téléphone sonne	Emission spéciale en direct de Marseille : l'Europe et le Tiers-Monde	16/05/1984	16/05/1984	19:26:05		"Magazine ; "		00:40:00 Env.
PHD98217195	PH (Phono)	Le téléphone sonne	Le golf	17/05/1984	17/05/1984	19:25:30		"Débat ; Journal parlé ; "	"Sports ; "	00:31:50
PHD98213826	PH (Phono)	Le téléphone sonne	Le durcissement soviétique : pourquoi ?	22/05/1984	22/05/1984	19:26:00		"Débat ; Journal parlé ; "	"Politique ; "	00:33:35
PHD98213842	PH (Phono)	Le téléphone sonne	Le rôle de la France dans l'organisation d'une défense européenne	23/05/1984	23/05/1984	19:26:40		"Déclaration ; Interview entretien ; "	"Information ; Politique ; "	00:39:35
PHD98213855	PH (Phono)	Le téléphone sonne	Doit-on inviter les Allemands aux cérémonies commémoratives du 6 juin ?	24/05/1984	24/05/1984	19:21:50		"Déclaration ; Interview entretien ; "	"Histoire ; Politique ; "	00:38:00
PHD98213939	PH (Phono)	Le téléphone sonne	Musique pous tous à la portée de tous	29/05/1984	29/05/1984	19:21:00		"Déclaration ; Interview entretien ; "	"Musique ; Média ; "	00:38:00
PHD98213947	PH (Phono)	Le téléphone sonne	Tout ce que vous voulez savoir sur le tournoi de Roland GARROS	30/05/1984	30/05/1984	19:23:40		"Déclaration ; Interview entretien ; "	"Sports ; "	00:37:30
PHD98213956	PH (Phono)	Le téléphone sonne	ULM Aviation pour tous ou sport casse-cou ?	31/05/1984	31/05/1984	19:23:50		"Déclaration ; Interview entretien ; "	"Industrie ; Sports ; "	00:37:25
PHD98214159	PH (Phono)	Le téléphone sonne	La danse : un art à l'évolution spectaculaire	13/06/1984	13/06/1984	19:21:55		"Magazine ; "	"Danse ; "	00:38:10
PHD98214242	PH (Phono)	Le téléphone sonne	Le marché des faux tableaux	19/06/1984	19/06/1984	19:25:00		"Magazine ; "	"Arts ; "	00:35:00
PHD98214245	PH (Phono)	Le téléphone sonne	Le comportement alimentaire des Français	20/06/1984	20/06/1984	19:25:20		"Débat ; Magazine ; "	"Information ; Sociologie ; "	00:32:45
PHD98214266	PH (Phono)	Le téléphone sonne	Championnat d'Europe de football : Michel Hidalgo	21/06/1984	21/06/1984	19:24:00		"Magazine ; "	"Sports ; "	00:34:35
PHY05081605	PH (Phono)	Le téléphone sonne	"""Comment protéger ses droits en vacances ?"""	26/06/1984	25/06/1984	19:25:00		"Déclaration ; Interview entretien ; Journal parlé ; "		00:34:35
PHD98214351	PH (Phono)	Le téléphone sonne	Les huissiers de justice	28/06/1984	28/06/1984	19:25:20		"Déclaration ; Interview entretien ; Journal parlé ; "	"Information ; "	00:32:20
PHD98214412	PH (Phono)	Le téléphone sonne	Après le baccalauréat, la course aux inscriptions universitaires	03/07/1984	03/07/1984	19:27:20		"Interview entretien ; Journal parlé ; "	"Education pédagogie ; "	00:32:25
PHD98214424	PH (Phono)	Le téléphone sonne	Après le baccalauréat, la course au premier emploi	04/07/1984	04/07/1984	19:24:20		"Interview entretien ; Journal parlé ; "	"Education pédagogie ; "	00:36:00
PHD98214443	PH (Phono)	Le téléphone sonne	Pour ou contre la limitation des rabais	05/07/1984	05/07/1984	19:24:30		"Déclaration ; Interview entretien ; Magazine ; "	"Information ; "	00:34:50
PHD98214504	PH (Phono)	Le téléphone sonne	Quel prix pour l'énergie ?	10/07/1984	10/07/1984	19:24:00		"Déclaration ; Interview entretien ; Journal parlé ; "	"Industrie ; "	00:34:35
PHD98214527	PH (Phono)	Le téléphone sonne	La crise du marché automobile français	11/07/1984	11/07/1984	19:18:00		"Interview entretien ; Journal parlé ; "	"Industrie ; "	00:38:05
PHD98214544	PH (Phono)	Le téléphone sonne	Les problèmes juridiques et moraux de l'insémination artificielle	12/07/1984	12/07/1984	19:22:20		"Interview entretien ; Journal parlé ; "	"Médecine santé ; "	00:34:10
PHD98214596	PH (Phono)	Le téléphone sonne	Assurez-vous, Rassurez-vous	17/07/1984	17/07/1984	19:25:10		"Journal parlé ; Magazine ; "	"Information ; "	00:34:45
PHD98214602	PH (Phono)	Le téléphone sonne	Le Tour de France à l'heure de la passation des pouvoirs	18/07/1984	18/07/1984	19:25:40		"Interview entretien ; Journal parlé ; "	"Sports ; "	00:35:10
PHD98214685	PH (Phono)	Le téléphone sonne	Les élections israéliennes	24/07/1984	24/07/1984	19:26:00		"Journal parlé ; Magazine ; "	"Politique ; "	00:37:30
PHD98214695	PH (Phono)	Le téléphone sonne	Crédit trop cher ou crédit gratuit, comment s'y reconnaître ?	25/07/1984	25/07/1984	19:22:45		"Journal parlé ; Magazine ; "	"Information ; "	00:37:00
PHD98214713	PH (Phono)	Le téléphone sonne	Jeux Olympiques 1984, les chances françaises	26/07/1984	26/07/1984	19:23:00		"Interview entretien ; Journal parlé ; "	"Sports ; "	00:37:00
PHD98214764	PH (Phono)	Le téléphone sonne	Les cartes de crédit bancaire	31/07/1984	31/07/1984	19:26:00		"Déclaration ; Interview entretien ; Magazine ; "	"Information ; "	00:31:50
PHD98214791	PH (Phono)	Le téléphone sonne	Le détournement d'avion	01/08/1984	01/08/1984	19:27:30		"Interview entretien ; Magazine ; "	"Information ; "	00:30:15
PHD98214810	PH (Phono)	Le téléphone sonne	Comment éviter l'hécatombe des accidents de la route	02/08/1984	02/08/1984	19:29:00		"Interview entretien ; Journal parlé ; "	"Industrie ; "	00:30:30
PHD98214879	PH (Phono)	Le téléphone sonne	Les médecines douces	07/08/1984	07/08/1984	19:25:45		"Magazine ; "	"Médecine santé ; "	00:34:25
PHD98214890	PH (Phono)	Le téléphone sonne	La délinquance : prévenir ou punir	08/08/1984	08/08/1984	19:25:45		"Magazine ; "	"Information ; "	00:33:45
PHD98214958	PH (Phono)	Le téléphone sonne	"Les piqûres d'abeille et de guêpe ; les morsures de serpent"	13/08/1984	13/08/1984	19:22:50		"Interview entretien ; "	"Médecine santé ; "	00:31:30
PHD98214973	PH (Phono)	Le téléphone sonne	Les fugueurs	14/08/1984	14/08/1984	19:19:55		"Déclaration ; Interview entretien ; Magazine ; "	"Sociologie ; "	00:37:45
PHD98214996	PH (Phono)	Le téléphone sonne	Le Pays basque français : halte à la violence	16/08/1984	16/08/1984	19:25:00		"Déclaration ; Interview entretien ; Magazine ; "	"Politique ; "	00:36:00
PHD98215037	PH (Phono)	Le téléphone sonne	Les yearlings : ces chevaux qui coûtent une fortune	21/08/1984	21/08/1984	19:22:00		"Interview entretien ; Magazine ; "	"Faune ; Information ; "	00:34:00
PHD98212904	PH (Phono)	Le téléphone sonne	"Le naufrage du cargo ""Mont Louis"""	27/08/1984	27/08/1984	19:22:00		"Magazine ; "	"Information ; "	00:33:55
PHD98215102	PH (Phono)	Le téléphone sonne	Comment se soigner sans médicament	28/08/1984	28/08/1984	19:24:55		"Magazine ; "	"Médecine santé ; "	00:28:30
PHD98215118	PH (Phono)	Le téléphone sonne	Créer sa propre entreprise	29/08/1984	29/08/1984	19:21:05		"Magazine ; "	"Information ; "	00:34:15
PHD98215123	PH (Phono)	Le téléphone sonne	Quelle école veulent les Français ?	30/08/1984	30/08/1984	19:26:35		"Magazine ; "	"Education pédagogie ; "	00:00:35
PHD98215171	PH (Phono)	Le téléphone sonne	Canal Plus, jour J-60, quel programme pour quel prix ?	04/09/1984	04/09/1984	19:23:15		"Débat ; Journal parlé ; "	"Média ; "	00:37:45
PHD98215183	PH (Phono)	Le téléphone sonne	Le poids des parents dans la scolarité des enfants	06/09/1984	06/09/1984	19:23:50		"Magazine ; "	"Education pédagogie ; "	00:40:40
PHD98215254	PH (Phono)	Le téléphone sonne	La télévision du matin	11/09/1984	11/09/1984	19:25:25		"Interview entretien ; "	"Média ; "	00:35:10
PHD98215268	PH (Phono)	Le téléphone sonne	Les impôts 85	12/09/1984	12/09/1984	19:26:25		"Magazine ; "	"Information ; Politique ; "	00:32:40
PHD98215271	PH (Phono)	Le téléphone sonne	Drogue : l'enfer des parents	13/09/1984	13/09/1984	19:24:35		"Magazine ; "	"Information ; "	00:36:35
PHD98215330	PH (Phono)	Le téléphone sonne	Le sport au rythme de ses artères	18/09/1984	18/09/1984	19:27:10		"Débat ; Magazine ; "	"Sports ; "	00:33:20
PHD98215347	PH (Phono)	Le téléphone sonne	Les médecins, les malades et la douleur	19/09/1984	19/09/1984	19:26:50		"Déclaration ; Interview entretien ; Magazine ; "	"Médecine santé ; "	00:28:10
PHD98215359	PH (Phono)	Le téléphone sonne	Le transport des matières dangereuses	20/09/1984	20/09/1984	19:25:10		"Magazine ; "	"Industrie ; Information ; "	00:33:50
PHD98215439	PH (Phono)	Le téléphone sonne	Les nouveaux alcooliques	25/09/1984	25/09/1984	19:22:40		"Magazine ; "	"Médecine santé ; Sociologie ; "	00:37:10
PHD98215484	PH (Phono)	Le téléphone sonne	Chômeurs à 20 ans	27/09/1984	27/09/1984	19:22:00		"Interview entretien ; Journal parlé ; "	"Information ; "	00:36:40
PHD98215536	PH (Phono)	Le téléphone sonne	La musique à la maison	02/10/1984	02/10/1984	19:29:10		"Interview entretien ; Journal parlé ; "	"Education pédagogie ; Musique ; "	00:30:35
PHD98215567	PH (Phono)	Le téléphone sonne	La presse féminine	03/10/1984	03/10/1984	19:28:45		"Interview entretien ; Journal parlé ; "	"Information ; "	00:30:05
PHD98215577	PH (Phono)	Le téléphone sonne	Le marché automobile français face à la concurrence étrangère	04/10/1984	04/10/1984	19:24:15		"Journal parlé ; Magazine ; "	"Industrie ; "	00:35:15
