Type de notice	Titre propre-Titre collection-date de diffusion-Chaine de diffusion-Heure de diffusion-Notice-Date de diffusion	Identifiant notice	Fichier source	Nom du fichier	TC IN	TC OUT	Format	Répertoire	Chemin
EMISSION RAD.	Titre: La cooperation energetique europeenne - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:08/06/1949 - Chaine:Radio Television Francaise comment= notice PHD99272638 08/06/1949	PHD99272638	LO19362_01.MP3	PHD99272638_LO19362_01_0_140120_EXPORT.MP3	00:00:00:00	00:14:01:20	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
EMISSION RAD.	Titre: Conversation du samedi - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:09/07/1949 - Chaine:Radio Television Francaise comment= notice PHD99272641 09/07/1949	PHD99272641	LO19923_01.MP3	PHD99272641_LO19923_01___EXPORT.MP3	:::	:::	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
EMISSION RAD.	Titre: Hommage a Pierre BOURDAN - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:12/07/1949 - Chaine:Radio Television Francaise comment= notice PHD99272642 12/07/1949	PHD99272642	LO19557_01.MP3	PHD99272642_LO19557_01_102_174614_EXPORT.MP3	00:00:01:02	00:17:46:14	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
EMISSION RAD.	Titre: Les principes de 1789 - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:14/07/1949 - Chaine:Radio Television Francaise comment= notice PHD99272644 14/07/1949	PHD99272644	LO19497_01.MP3	PHD99272644_LO19497_01___EXPORT.MP3	:::	:::	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
EMISSION RAD.	Titre: Liberalisme ou dirigisme economique - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:19/07/1949 - Chaine:Radio Television Francaise comment= notice PHD99272645 19/07/1949	PHD99272645	LO19456_01.MP3	PHD99272645_LO19456_01___EXPORT.MP3	:::	:::	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
EMISSION RAD.	Titre: Le Festival de musique d'Aix en Provence - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:23/07/1949 - Chaine:Radio Television Francaise comment= notice PHD99272646 23/07/1949	PHD99272646	LO18627_01.MP3	PHD99272646_LO18627_01___EXPORT.MP3	:::	:::	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
EMISSION RAD.	Titre: 40eme anniversaire de la traversee de la Manche par Bleriot - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:25/07/1949 - Chaine:Radio Television Francaise - Heure:21:40:00 comment= notice PHD99272647 25/07/1949	PHD99272647	LO19504_01.MP3	PHD99272647_LO19504_01_0_182701_EXPORT.MP3	00:00:00:00	00:18:27:01	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
EMISSION RAD.	Titre: 35eme anniversaire de la mort de Jean JAURES - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:30/07/1949 - Chaine:Radio Television Francaise comment= notice PHD99272648 30/07/1949	PHD99272648	DB01160_01.MP3	PHD99272648_DB01160_01_0_210907_EXPORT.MP3	00:00:00:00	00:21:09:07	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
EMISSION RAD.	Titre: 35eme anniversaire de la mort de Jean JAURES - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:30/07/1949 - Chaine:Radio Television Francaise comment= notice PHD99272648 30/07/1949	PHD99272648	LO19859_01.MP3	PHD99272648_LO19859_01_0_182022_EXPORT.MP3	00:00:00:00	00:18:20:22	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
EMISSION RAD.	Titre: La mode 1950 - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:11/08/1949 - Chaine:Radio Television Francaise comment= notice PHD99272649 11/08/1949	PHD99272649	LO19038_01.MP3	PHD99272649_LO19038_01___EXPORT.MP3	:::	:::	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
EMISSION RAD.	Titre: Economie internationale - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:06/09/1949 - Chaine:Radio Television Francaise comment= notice PHD99272650 06/09/1949	PHD99272650	LO19838_01.MP3	PHD99272650_LO19838_01___EXPORT.MP3	:::	:::	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
EMISSION RAD.	Titre: La rentree des classes - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:01/10/1949 - Chaine:Radio Television Francaise comment= notice PHD99272751 01/10/1949	PHD99272751	LO19881_01.MP3	PHD99272751_LO19881_01___EXPORT.MP3	:::	:::	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
EMISSION RAD.	Titre: Memoires a Plusieurs voix : Emile BURE   3 - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:01/10/1949 - Chaine:Radio Television Francaise comment= notice PHD99272752 01/10/1949	PHD99272752	LO19711_01.MP3	PHD99272752_LO19711_01___EXPORT.MP3	:::	:::	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
