,Collection name,Journal Name,Start Year (in Scriptorium),End Year (in Scriptorium),Number of issues,"@TeamHistory, please express your interest 👇",Data Category for Data Sharing Agreement,Data Acquisition Batch,Data Transfer Batch (what has been transfered with hard disk),Extension of mit file,Impresso 1,Formula (if title in B was already in previous sheet),Question/Notes
35,Journaux satiriques vaudois,La Lanterne de Pétollion,1887,1887,1,medium,Category 1 – public domain,Batch 1 – public domain,Not to include,,32,La Lanterne de Pétollion,
36,Journaux satiriques vaudois,La Marge,1973,1973,2,medium,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,,No,
137,Presse de la Côte vaudoise,La Mouette,1948,1948,10,medium,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,,No,
65,La Nation,La Nation,1931,2020,2164,high,Category 2 - existing agreement,Batch 3 – restricted,Bath 4 (08/25),,,No,
211,Revue de Lausanne,La Petite revue,1938,1946,873,high,,Batch 3 – restricted,Batch 3 (12/24),,72?,No,
37,Journaux satiriques vaudois,La Pomme,1969,1973,27,medium,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,,No,
198,Presse du Nord vaudois,La Région Nord vaudois,2006,2016,1905,medium,Category 3 - no agreement,Batch 3 – restricted,To add later,,34,La Région Nord vaudois,
212,Revue de Lausanne,La Revue,1868,1946,22815,high,,Batch 2 – partly public,To add later,,72?,No,
213,Revue de Lausanne,La Revue agricole,1891,1898,213,high,Category 1– public domain,Batch 1 – public domain,Batch 1 (21/12/23),XML (needs API),72?,No,
214,Revue de Lausanne,La Revue de Lausanne,1946,1946,200,high,,Batch 3 – restricted,Batch 3 (12/24),,72,No,
215,Revue de Lausanne,La Revue dimanche,1941,1946,1935,high,,Batch 3 – restricted,Batch 3 (12/24),,72?,No,
77,Magazines illustrés vaudois,La Tribune - Supplément illustré,1913,1918,277,high,Category 3 - no agreement,Batch 3 – restricted,To add later,,75,No,oui
173,Presse de l'Est vaudois,La Tribune de Montreux,1938,1939,2,medium,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,,No,
174,Presse de l'Est vaudois,La Tribune de Vevey,1906,1907,205,medium,Category 1.5 - Orphan,Batch 1.5,Batch 3 (12/24),,37,La Tribune de Vevey,
205,Presse socialiste,La Vague,1940,1944,90,high,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,38,La Vague,
175,Presse de l'Est vaudois,La Veveysanne - La Patrie,1840,1844,216,medium,Category 1– public domain,Batch 1 – public domain,Batch 2 (26/02/24),,33 et 39?,No,
206,Presse socialiste,La voix du peuple vaudois,1955,1955,2,high,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,,No,
66,Lausanne-plaisirs / L'Artistique,Lausanne artistique,1913,1924,409,no interest,no interest,no interest,Not to include,,40,Lausanne artistique,
67,Lausanne-plaisirs / L'Artistique,Lausanne plaisirs,1912,1913,86,no interest,no interest,no interest,Not to include,,41,Lausanne plaisirs,
216,Revue de Lausanne,Lausanne-Soir,1975,1976,44,high,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,72?,No,
39,Journaux satiriques vaudois,Le Bistouri,1934,1934,5,medium,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,42,Le Bistouri,
40,Journaux satiriques vaudois,Le Bon jour de Jack Rollan,1952,1959,134,high,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,,No,
41,Journaux satiriques vaudois,Le Bonjour de Jack Rollan (2),1974,1974,9,high,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,,No,
42,Journaux satiriques vaudois,Le Canard libre,1936,1938,82,medium,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,43,Le Canard libre,
43,Journaux satiriques vaudois,Le Canard rit,1930,1942,5,medium,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,,No,
44,Journaux satiriques vaudois,Le Charivari [1],1839,1841,81,medium,Category 1– public domain,Batch 1 – public domain,Batch 1 (21/12/23),XML (needs API),44,No,
45,Journaux satiriques vaudois,Le Charivari [2],1875,1877,66,medium,Category 1– public domain,Batch 1 – public domain,Batch 1 (21/12/23),XML (needs API),45,No,
46,Journaux satiriques vaudois,Le Clairon du Nord,1974,1974,4,medium,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,,No,
176,Presse de l'Est vaudois,Le Cotterg,2003,2022,182,medium,Category 2 - existing agreement,Batch 3 – restricted,Bath 4 (08/25),,,No,
109,"Presse de la Broye, du Jorat et du Gros-de-Vaud",Le Courrier de la Broye et du Jorat,1950,2019,3423,medium,Category 2 - existing agreement,Batch 3 – restricted,Bath 4 (08/25),,,No,
108,"Presse de la Broye, du Jorat et du Gros-de-Vaud",Le Courrier de Prilly,1947,1948,70,medium,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,,No,
110,"Presse de la Broye, du Jorat et du Gros-de-Vaud",Le Démocrate de Payerne,1846,1999,13846,high,Category 1.5 - Orphan,Batch 2 – partly public,Batch 3 (12/24),,,No,
47,Journaux satiriques vaudois,Le Frondeur,1917,1917,5,medium,Category 1.5 - Orphan,Batch 1.5,Batch 3 (12/24),,48,Le Frondeur,
48,Journaux satiriques vaudois,Le Grelot,1843,1846,38,medium,Category 1– public domain,Batch 1 – public domain,Batch 1 (21/12/23),XML (needs API),49,Le Grelot,
209,Presse socialiste,Le Grutléen,1909,1917,397,high,Category 3 - no agreement,Batch 3 - no agreement,To add later,,50,No,
208,Presse socialiste,"Le Grutli, journal ouvrier",1888,1943,2744,high,Category 3 - no agreement,Batch 2 – partly public,To add later,,51,No,
111,"Presse de la Broye, du Jorat et du Gros-de-Vaud",Le Jorat,1925,1940,776,medium,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,,No,
49,Journaux satiriques vaudois,Le Journal de Jack Rollan,1960,1961,9,high,Category 1.5 - Orphan,Batch 3 – restricted,Bath 4 (08/25),,,No,
138,Presse de la Côte vaudoise,Le Jura vaudois,1883,2004,6920,high,Category 2 - existing agreement,Batch 2 – partly public,Bath 4 (08/25),,,No,
50,Journaux satiriques vaudois,Le Kangourou,1959,1959,14,medium,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,,No,
229,Presse religieuse,Le Lien,1894,1974,1340,medium,Category 2 - existing agreement,Batch 2 – partly public,To add later,,,No,
78,Magazines illustrés vaudois,Le Magazine,1914,1937,457,high,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,53,Le Magazine,
70,Le Matin - Tribune de Lausanne,Le Matin - Lausanne,1984,2012,10475,high,Category 3 - no agreement,Batch 3 – restricted,To add later,,54,No,oui
